Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
Encounter,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aftermath: Where the Faults Lie,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bebek isi,None.,0,0,0,0,0,0,0,0,0,0,0,0
Altindagli,None.,0,0,0,0,0,0,0,0,0,0,0,0
Angry Britain,None.,0,0,0,0,0,0,0,0,0,0,0,0
Daddy,None.,0,0,0,0,0,0,0,0,0,0,0,0
Natalie Portman,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Cute Little Babysitter 3,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Cabbie Abroad,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Midsummer Night's Dream,None.,0,0,0,0,0,0,0,0,0,0,0,0
Charlamagne & Friends,None.,0,0,0,0,0,0,0,0,0,0,0,0
Art Time-Traveller,None.,0,0,0,0,0,0,0,0,0,0,0,0
24 minuta sa Zoranom Kesicem,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dengler - Die letzte Flucht,None.,0,0,0,0,0,0,0,0,0,0,0,0
Between the Scenes,None.,0,0,0,0,0,0,0,0,0,0,0,0
Big Fish Little Pond,None.,0,0,0,0,0,0,0,0,0,0,0,0
Rent,None.,0,0,0,0,0,0,0,0,0,0,0,0
Big Bang,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ali Ayse'yi Seviyor,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Invasion Journals of Ian Reynolds,None.,0,0,0,0,0,0,0,0,0,0,0,0
Global Shopping Village,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Seance,None.,0,0,0,0,0,0,0,0,0,0,0,0
Redemption,None.,0,0,0,0,0,0,0,0,0,0,0,0
Collita pròpia,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Best Bits,None.,0,0,0,0,0,0,0,0,0,0,0,0
ADTV (Attention Deficit Television),None.,0,0,0,0,0,0,0,0,0,0,0,0
Blind,None.,0,0,0,0,0,0,0,0,0,0,0,0
Criminal-X,None.,0,0,0,0,0,0,0,0,0,0,0,0
Simone,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fish out of Water,None.,0,0,0,0,0,0,0,0,0,0,0,0
Tales from the Bottle,None.,0,0,0,0,0,0,0,0,0,0,0,0
Britain's Whale Hunters: The Untold Story,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
5 Aside,None.,0,0,0,0,0,0,0,0,0,0,0,0
Targets,None.,0,0,0,0,0,0,0,0,0,0,0,0
American Fringe,None.,0,0,0,0,0,0,0,0,0,0,0,0
AshTags,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bajo sospecha,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Forbidden,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bo Flytter Hjemmefra,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bebé a bordo,None.,0,0,0,0,0,0,0,0,0,0,0,0
Miranda,None.,0,0,0,0,0,0,0,0,0,0,0,0
Antoinette,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chasing the World,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ask the Chief,None.,0,0,0,0,0,0,0,0,0,0,0,0
Romeo & Juliet,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hidden,None.,0,0,0,0,0,0,0,0,0,0,0,0
Boyster,None.,0,0,0,0,0,0,0,0,0,0,0,0
Kourtney & Khloé Take the Hamptons,None.,0,0,0,0,0,0,0,0,0,0,0,0
Girly Girls Intro Video,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Billie Jean King: Battle of the Sexes,None.,0,0,0,0,0,0,0,0,0,0,0,0
Murdered by My Boyfriend,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
Around the Verse,None.,0,0,0,0,0,0,0,0,0,0,0,0
ICW All Fired Up,None.,0,0,0,0,0,0,0,0,0,0,0,0
Is That You?,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Discipline,None.,0,0,0,0,0,0,0,0,0,0,0,0
Making Assassin's Creed Unity: A New Beginning,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chaos Theory,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dissolution,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Vodka Diaries,None.,0,0,0,0,0,0,0,0,0,0,0,0
Too Late,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
The Good; the Bad and the Milky Way,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bratya po obmenu,None.,0,0,0,0,0,0,0,0,0,0,0,0
Without the Ancestors,None.,0,0,0,0,0,0,0,0,0,0,0,0
Language,None.,0,0,0,0,0,0,0,0,0,0,0,0
Así es mi vida,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hit Me,None.,0,0,0,0,0,0,0,0,0,0,0,0
Three's a Crowd,None.,0,0,0,0,0,0,0,0,0,0,0,0
Granny Warfare: The Great Escape,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Man with the Alien Hand,None.,0,0,0,0,0,0,0,0,0,0,0,0
Simon Says,None.,0,0,0,0,0,0,0,0,0,0,0,0
10 Seconds of Hell,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Showgirls and the Farmers,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Hunt for the Shadowman,None.,0,0,0,0,0,0,0,0,0,0,0,0
Identity Theft,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Promotion,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Amazing Bang Front,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ayanna and Jacque,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Impossible,None.,0,0,0,0,0,0,0,0,0,0,0,0
Buscando mi ritmo,None.,0,0,0,0,0,0,0,0,0,0,0,0
Eclipse,None.,0,0,0,0,0,0,0,0,0,0,0,0
Jeju: A Bicycle Adventure in South Korea,None.,0,0,0,0,0,0,0,0,0,0,0,0
Britain's Most Extreme Weather,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Tempest,None.,0,0,0,0,0,0,0,0,0,0,0,0
Deuce Ex Machina,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Inheritance,None.,0,0,0,0,0,0,0,0,0,0,0,0
American Viral,None.,0,0,0,0,0,0,0,0,0,0,0,0
Sonar,None.,0,0,0,0,0,0,0,0,0,0,0,0
Amerikology,None.,0,0,0,0,0,0,0,0,0,0,0,0
Broad Strokes,None.,0,0,0,0,0,0,0,0,0,0,0,0
Parental Guidance,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hamish & Andy's Gap Year South America,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,2,1
Howard Stern Birthday Bash,None.,0,0,0,0,0,0,0,0,0,0,0,0
Extraction,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ryan at the Park,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cherta,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cupcake Maniacs,None.,0,0,0,0,0,0,0,0,0,0,0,0
Greed,1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0,14,1
Horse,None.,0,0,0,0,0,0,0,0,0,0,0,0
An Impossible Mission: Ivory Coast Elephant Rescue,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Mistake,None.,0,0,0,0,0,0,0,0,0,0,0,0
Artistically Challenged,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bab Alhara 6,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adequate Gentlemen,None.,0,0,0,0,0,0,0,0,0,0,0,0
Quarter Life Crisis,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cantabridgia,None.,0,0,0,0,0,0,0,0,0,0,0,0
Choose Your Homage: Chinchilla Hunt,None.,0,0,0,0,0,0,0,0,0,0,0,0
Country House Sunday,None.,0,0,0,0,0,0,0,0,0,0,0,0
Girls; Girls; Girls,None.,0,0,0,0,0,0,0,0,0,0,0,0
Japan-China Relations: Towards a Mutually Beneficial Relationship Based on Common Strategic Interests,None.,0,0,0,0,0,0,0,0,0,0,0,0
Blue Tower,None.,0,0,0,0,0,0,0,0,0,0,0,0
Australia: The Story of Us,None.,0,0,0,0,0,0,0,0,0,0,0,0
Amazing Water Homes,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Midsemester Night's Dream,None.,0,0,0,0,0,0,0,0,0,0,0,0
Abby's Studio Rescue,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anna: cronache di un'attrice emergente,None.,0,0,0,0,0,0,0,0,0,0,0,0
Padre & Hijo,None.,0,0,0,0,0,0,0,0,0,0,0,0
Meant to Be,None.,0,0,0,0,0,0,0,0,0,0,0,0
Beasts of the Bayou,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hot Bench,None.,0,0,0,0,0,0,0,0,0,0,0,0
Couples Come Dine with Me,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agent,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Silent Treatment,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Gun,None.,0,0,0,0,0,0,0,0,0,0,0,0
Treasure Island,None.,0,0,0,0,0,0,0,0,0,0,0,0
ManIslam: Islam and Masculinity,None.,0,0,0,0,0,0,0,0,0,0,0,0
Radio Zed: Getting to Know You,None.,0,0,0,0,0,0,0,0,0,0,0,0
Sports,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Finish Line,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dear Diary... I Love Sex,None.,0,0,0,0,0,0,0,0,0,0,0,0
Carvers,None.,0,0,0,0,0,0,0,0,0,0,0,0
What a Wonderful World,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0,1,4
Downsizing,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alan & Barry Car Booty,None.,0,0,0,0,0,0,0,0,0,0,0,0
Home Sweet Home,None.,0,0,0,0,0,0,0,0,0,0,0,0
Nouvelle Vie,None.,0,0,0,0,0,0,0,0,0,0,0,0
CMA Music Festival: Country's Night to Rock,None.,0,0,0,0,0,0,0,0,0,0,0,0
American Swingers,None.,0,0,0,0,0,0,0,0,0,0,0,0
BAPs,None.,0,0,0,0,0,0,0,0,0,0,0,0
Amazing Japan,None.,0,0,0,0,0,0,0,0,0,0,0,0
Black Spider-Man,None.,0,0,0,0,0,0,0,0,0,0,0,0
About Us,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Hotline,None.,0,0,0,0,0,0,0,0,0,0,0,0
At the Studio Interview with Jessica DeBonville,None.,0,0,0,0,0,0,0,0,0,0,0,0
At the Studio Interview with John Paul Ouvrier,None.,0,0,0,0,0,0,0,0,0,0,0,0
At the Studio Interview with Gabriella Pastore,None.,0,0,0,0,0,0,0,0,0,0,0,0
Astroblast!,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bite This with Nadia G,None.,0,0,0,0,0,0,0,0,0,0,0,0
Entrepreneurs,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bullshit Quest,None.,0,0,0,0,0,0,0,0,0,0,0,0
Het Stilleven van Estelle,None.,0,0,0,0,0,0,0,0,0,0,0,0
Almost Home,None.,0,0,0,0,0,0,0,0,0,0,0,0
BBC Proms,None.,0,0,0,0,0,0,0,0,0,0,0,0
Arfernat: Number Six,None.,0,0,0,0,0,0,0,0,0,0,0,0
Proof of the Devil,None.,0,0,0,0,0,0,0,0,0,0,0,0
James Deen's Seven Sins: Gluttony,None.,0,0,0,0,0,0,0,0,0,0,0,0
America's Best Kept Secrets,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Fire Line: Wildfire in Colorado,None.,0,0,0,0,0,0,0,0,0,0,0,0
Best Friends Forever,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bubbles,None.,0,0,0,0,0,0,0,0,0,0,0,0
North Mississippi Allstars: Meet Me in the City,None.,0,0,0,0,0,0,0,0,0,0,0,0
Graduation Day Blues: An Interview with David Baughn,None.,0,0,0,0,0,0,0,0,0,0,0,0
Duty of Care,None.,0,0,0,0,0,0,0,0,0,0,0,0
Going the Distance: A Honeymoon Adventure,None.,0,0,0,0,0,0,0,0,0,0,0,0
Be Youth Self,None.,0,0,0,0,0,0,0,0,0,0,0,0
Whatever It Takes,None.,0,0,0,0,0,0,0,0,0,0,0,0
On the Road,None.,0,0,0,0,0,0,0,0,0,0,0,0
American Roadhouse,None.,0,0,0,0,0,0,0,0,0,0,0,0
Apologetics Symposium,None.,0,0,0,0,0,0,0,0,0,0,0,0
Reset,None.,0,0,0,0,0,0,0,0,0,0,0,0
Strangers in the Night,None.,0,0,0,0,0,0,0,0,0,0,0,0
AdvoCat!,None.,0,0,0,0,0,0,0,0,0,0,0,0
Amflix,None.,0,0,0,0,0,0,0,0,0,0,0,0
Much Ado About Nothing,None.,0,0,0,0,0,0,0,0,0,0,0,0
In Deep,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ah Pois! Tá Bem,None.,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars Ep 3 Update: Auralnauts,None.,0,0,0,0,0,0,0,0,0,0,0,0
B.O.R.N. To Style,None.,0,0,0,0,0,0,0,0,0,0,0,0
Celebrity Damage Control,None.,0,0,0,0,0,0,0,0,0,0,0,0
Book to Plate,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chipe Libre,None.,0,0,0,0,0,0,0,0,0,0,0,0
Best Bars in America,None.,0,0,0,0,0,0,0,0,0,0,0,0
Break-ups: Die Serie,None.,0,0,0,0,0,0,0,0,0,0,0,0
Kitty Kat Jinx,None.,0,0,0,0,0,0,0,0,0,0,0,0
Celebrity Liam Stone Candid Travels Texas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Buried Treasures; the Unseen Art of Robert Ross,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Different Kind of Woman,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Kiss,None.,0,0,0,0,0,0,0,0,0,0,0,0
As We Proceed,None.,0,0,0,0,0,0,0,0,0,0,0,0
7 dana,None.,0,0,0,0,0,0,0,0,0,0,0,0
Legalization of Hashish in Morocco,None.,0,0,0,0,0,0,0,0,0,0,0,0
Currently Cool,None.,0,0,0,0,0,0,0,0,0,0,0,0
403 Forbidden,None.,0,0,0,0,0,0,0,0,0,0,0,0
Grief,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bleak: The Web Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
Be Youth Self; Making Of,None.,0,0,0,0,0,0,0,0,0,0,0,0
Boogie Oogie,5 nominations.,0,5,0,0,0,0,0,0,0,0,5,0
Chronicles of a Profiler 1,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bogan Hunters,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Build It Play It Sell It,None.,0,0,0,0,0,0,0,0,0,0,0,0
99 Percent Gang,None.,0,0,0,0,0,0,0,0,0,0,0,0
K'na; the Dreamweaver,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0,1,3
Deception,None.,0,0,0,0,0,0,0,0,0,0,0,0
Going Home,None.,0,0,0,0,0,0,0,0,0,0,0,0
Best of Bali,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Longest-Distance Relationship,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hide Your Eyes,None.,0,0,0,0,0,0,0,0,0,0,0,0
Black Ops 2 Ep 6 Operation Fire Magic,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bestsennaya lyubov,None.,0,0,0,0,0,0,0,0,0,0,0,0
BMX Supercross World Cup Series 2013,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bear Grylls: Escape From Hell,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bear Grylls: Extreme Survival Caught on Camera,None.,0,0,0,0,0,0,0,0,0,0,0,0
Mama's Boy,None.,0,0,0,0,0,0,0,0,0,0,0,0
Treasure,None.,0,0,0,0,0,0,0,0,0,0,0,0
Home for the Holidays,None.,0,0,0,0,0,0,0,0,0,0,0,0
Breakfast Buddies,None.,0,0,0,0,0,0,0,0,0,0,0,0
Almost Perfect,None.,0,0,0,0,0,0,0,0,0,0,0,0
Educating Joey Essex,None.,0,0,0,0,0,0,0,0,0,0,0,0
Asset: CIA Public Initiative,None.,0,0,0,0,0,0,0,0,0,0,0,0
Twerk Da't Thang,None.,0,0,0,0,0,0,0,0,0,0,0,0
Change Starts Within Armenia,None.,0,0,0,0,0,0,0,0,0,0,0,0
Out of the Box,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ready,None.,0,0,0,0,0,0,0,0,0,0,0,0
American Rehab: Detroit,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cold River Cash,None.,0,0,0,0,0,0,0,0,0,0,0,0
Robert Redford Explains the 'Sundance Effect',None.,0,0,0,0,0,0,0,0,0,0,0,0
Cinema-N-Focus,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bad Man,None.,0,0,0,0,0,0,0,0,0,0,0,0
Make or Break: The Linda Perry Project,None.,0,0,0,0,0,0,0,0,0,0,0,0
Tales from the Royal Wardrobe,None.,0,0,0,0,0,0,0,0,0,0,0,0
Harold,None.,0,0,0,0,0,0,0,0,0,0,0,0
Role Play,None.,0,0,0,0,0,0,0,0,0,0,0,0
American Grilled,None.,0,0,0,0,0,0,0,0,0,0,0,0
Tropes vs. Women in Video Games,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cement Heads,None.,0,0,0,0,0,0,0,0,0,0,0,0
Camp Concussion,None.,0,0,0,0,0,0,0,0,0,0,0,0
Flowers,8 wins & 15 nominations.,8,15,0,0,0,0,0,0,0,0,15,8
What a Mess(Age),None.,0,0,0,0,0,0,0,0,0,0,0,0
Railways of the Great War,None.,0,0,0,0,0,0,0,0,0,0,0,0
Flying Trout and Swimming Vulture,None.,0,0,0,0,0,0,0,0,0,0,0,0
O presente é um animal que habita o meu estômago,None.,0,0,0,0,0,0,0,0,0,0,0,0
Let's Talk About Sex,None.,0,0,0,0,0,0,0,0,0,0,0,0
Jump,None.,0,0,0,0,0,0,0,0,0,0,0,0
Inside the Walking Dead Special,None.,0,0,0,0,0,0,0,0,0,0,0,0
100 Things to Do Before High School,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0,1,4
Angels Among Us,None.,0,0,0,0,0,0,0,0,0,0,0,0
Trophy Wife,4 nominations.,0,4,0,0,0,0,0,0,0,0,4,0
Big Time RV,None.,0,0,0,0,0,0,0,0,0,0,0,0
Arise Xchange,None.,0,0,0,0,0,0,0,0,0,0,0,0
Arise News Now,None.,0,0,0,0,0,0,0,0,0,0,0,0
CD-ROMz,None.,0,0,0,0,0,0,0,0,0,0,0,0
Auction on Wheels,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Black Ops,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Big Sleepy Dead Reckoning,None.,0,0,0,0,0,0,0,0,0,0,0,0
School's Out,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Woman's Dream (Royaye Shirin),None.,0,0,0,0,0,0,0,0,0,0,0,0
Sound Advice,None.,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Pit Wars,None.,0,0,0,0,0,0,0,0,0,0,0,0
Brothers,None.,0,0,0,0,0,0,0,0,0,0,0,0
Sketchy,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Game of Life,None.,0,0,0,0,0,0,0,0,0,0,0,0
Celebrity Paranormal Lockdown,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hitman,None.,0,0,0,0,0,0,0,0,0,0,0,0
Asian Beauty Secrets,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alpha Pro Nutrition,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bad Guys,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Carmela: Ang pinakamagandang babae sa mundong ibabaw,None.,0,0,0,0,0,0,0,0,0,0,0,0
De verloren zoon,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Jennie Garth Project,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Trailer,None.,0,0,0,0,0,0,0,0,0,0,0,0
Turf Wars: Flipped Out Comedy,None.,0,0,0,0,0,0,0,0,0,0,0,0
Baem-pa-i-eo-eui Kko-t,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ceramic Treasures,None.,0,0,0,0,0,0,0,0,0,0,0,0
Change,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bernie Says So,None.,0,0,0,0,0,0,0,0,0,0,0,0
Interrogation,None.,0,0,0,0,0,0,0,0,0,0,0,0
Lost at Sea,None.,0,0,0,0,0,0,0,0,0,0,0,0
Tabloid Terry: A Stunted Caricature of a Citizen,None.,0,0,0,0,0,0,0,0,0,0,0,0
Brändärit,None.,0,0,0,0,0,0,0,0,0,0,0,0
Rocket Man,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bill Maher: Live from D.C.,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,1,0,0,0,0,0,0,0,1,0
Rufus: Free,None.,0,0,0,0,0,0,0,0,0,0,0,0
All About Family,None.,0,0,0,0,0,0,0,0,0,0,0,0
35 Diwrnod,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0,3,1
Crowd Goes Wild,None.,0,0,0,0,0,0,0,0,0,0,0,0
Addicted to Sweat: Dance Fit,None.,0,0,0,0,0,0,0,0,0,0,0,0
Camp Stew,None.,0,0,0,0,0,0,0,0,0,0,0,0
Campus Nightmares,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Blockbustaz,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Price We Pay,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
Alabora,None.,0,0,0,0,0,0,0,0,0,0,0,0
Born in the Wild,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Question of Sport: Super Saturday,None.,0,0,0,0,0,0,0,0,0,0,0,0
Un Jardín Adentro de La Violencia,None.,0,0,0,0,0,0,0,0,0,0,0,0
1954 Alcatraz,None.,0,0,0,0,0,0,0,0,0,0,0,0
Desperate Housewife,None.,0,0,0,0,0,0,0,0,0,0,0,0
Annaliza,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
MythBusters Laws of Attraction,None.,0,0,0,0,0,0,0,0,0,0,0,0
Subaru Launch Control,None.,0,0,0,0,0,0,0,0,0,0,0,0
Reckoning,None.,0,0,0,0,0,0,0,0,0,0,0,0
Something New,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Hub,None.,0,0,0,0,0,0,0,0,0,0,0,0
Room Service,None.,0,0,0,0,0,0,0,0,0,0,0,0
24 Casetas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Jonah Bryson: A Sweet Spot in Time,None.,0,0,0,0,0,0,0,0,0,0,0,0
Black Tie & BBQ,None.,0,0,0,0,0,0,0,0,0,0,0,0
B-Daman Crossfire,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Journey Through Asian Art,None.,0,0,0,0,0,0,0,0,0,0,0,0
Casual Hex,None.,0,0,0,0,0,0,0,0,0,0,0,0
Escape from Kenya,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Travel Guide to Life,None.,0,0,0,0,0,0,0,0,0,0,0,0
Curiosity,None.,0,0,0,0,0,0,0,0,0,0,0,0
All in the Family,None.,0,0,0,0,0,0,0,0,0,0,0,0
Back Seat Drivers,None.,0,0,0,0,0,0,0,0,0,0,0,0
Amagi Brilliant Park,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cuánto ganamos; cuánto perdimos,None.,0,0,0,0,0,0,0,0,0,0,0,0
100 Years of Freedom: The Fort Sill Apache Tribe Centennial of the Final Release of the Chiricahua/Warm Springs Apache Prisoners of War,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Fall,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fear Thy Neighbor,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
Buy It; Fix It; Sell It,None.,0,0,0,0,0,0,0,0,0,0,0,0
Rommates,None.,0,0,0,0,0,0,0,0,0,0,0,0
Taking the Plunge,None.,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Beats & Eats,None.,0,0,0,0,0,0,0,0,0,0,0,0
One of a Kind,None.,0,0,0,0,0,0,0,0,0,0,0,0
For the Love of Money,None.,0,0,0,0,0,0,0,0,0,0,0,0
Decision,None.,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,None.,0,0,0,0,0,0,0,0,0,0,0,0
Florida Water,None.,0,0,0,0,0,0,0,0,0,0,0,0
Stabover: The Sleepover with Knives,None.,0,0,0,0,0,0,0,0,0,0,0,0
My Big Brother,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Desert,None.,0,0,0,0,0,0,0,0,0,0,0,0
Apples From the Desert,3 nominations.,0,3,0,0,0,0,0,0,0,0,3,0
Amy's Mythic Mornings,None.,0,0,0,0,0,0,0,0,0,0,0,0
Je t'aime,None.,0,0,0,0,0,0,0,0,0,0,0,0
Art of China,None.,0,0,0,0,0,0,0,0,0,0,0,0
You Don't Know Jack,None.,0,0,0,0,0,0,0,0,0,0,0,0
Blind Dinner Dates,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Brittany Murphy Story,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventures of Angelfire,None.,0,0,0,0,0,0,0,0,0,0,0,0
Peter,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ces gars-là - Les coulisses,None.,0,0,0,0,0,0,0,0,0,0,0,0
Camping Misadventures,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,2,1
The Stakeout,None.,0,0,0,0,0,0,0,0,0,0,0,0
Confession,3 nominations.,0,3,0,0,0,0,0,0,0,0,3,0
A Walk in the Park,None.,0,0,0,0,0,0,0,0,0,0,0,0
Brick House,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chuzhaya voyna,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Disappeared Special,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventures in Staying Young,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bitwa o dom,None.,0,0,0,0,0,0,0,0,0,0,0,0
Father's Day,None.,0,0,0,0,0,0,0,0,0,0,0,0
On Thin Ice,None.,0,0,0,0,0,0,0,0,0,0,0,0
Animation Junkie,None.,0,0,0,0,0,0,0,0,0,0,0,0
America's Pregame,None.,0,0,0,0,0,0,0,0,0,0,0,0
Family Feud,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0,3,1
After Dark: Dabbling in Identity,None.,0,0,0,0,0,0,0,0,0,0,0,0
Good Day Google+ - The Dog Days of Summer,None.,0,0,0,0,0,0,0,0,0,0,0,0
Annie Undocumented,None.,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Business of Life & Death,None.,0,0,0,0,0,0,0,0,0,0,0,0
Advent Calendar 2013,None.,0,0,0,0,0,0,0,0,0,0,0,0
Azeroth Choppers,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bless Yer Heart,None.,0,0,0,0,0,0,0,0,0,0,0,0
Data Limite segundo Chico Xavier,None.,0,0,0,0,0,0,0,0,0,0,0,0
Surfing for Brian Grazer: Episode 3,None.,0,0,0,0,0,0,0,0,0,0,0,0
Children,None.,0,0,0,0,0,0,0,0,0,0,0,0
My Godmother's Wellies,None.,0,0,0,0,0,0,0,0,0,0,0,0
Best Quest,None.,0,0,0,0,0,0,0,0,0,0,0,0
045,None.,0,0,0,0,0,0,0,0,0,0,0,0
