Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
American Family,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,15,0,0,1,0,0,0,0,0,14,2
Dan Dare; Pilot of the Future,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Game of Their Lives: Pro Football's Wonder Years,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Ruby Princess Runs Away,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
Adam Sandler Goes to Hell,None.,0,0,0,0,0,0,0,0,0,0,0,0
La peur du loup,None.,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Legends,None.,0,0,0,0,0,0,0,0,0,0,0,0
101,None.,0,0,0,0,0,0,0,0,0,0,0,0
All About Me,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anatomy of a Scene,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Cook's Tour,None.,0,0,0,0,0,0,0,0,0,0,0,0
Shock Video 2002: America Undercover,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Model Solution,None.,0,0,0,0,0,0,0,0,0,0,0,0
100% bakvis,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alan Keyes Is Making Sense,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anarchy Online: The Animated Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
Andy Richter Controls the Universe,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,1,0,0,0,0,0,0,0,1,0
Crime and Punishment,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0,1,3
The Freshmen,None.,0,0,0,0,0,0,0,0,0,0,0,0
ECW Guilty as Charged 2001,None.,0,0,0,0,0,0,0,0,0,0,0,0
2030 CE,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
Ace Lightning,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Artóza,None.,0,0,0,0,0,0,0,0,0,0,0,0
10 minuten,None.,0,0,0,0,0,0,0,0,0,0,0,0
4 op 4,None.,0,0,0,0,0,0,0,0,0,0,0,0
72 heures,None.,0,0,0,0,0,0,0,0,0,0,0,0
Australian Survivor,None.,0,0,0,0,0,0,0,0,0,0,0,0
After Midnight,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chechen Lullaby,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
Aix mélodie,None.,0,0,0,0,0,0,0,0,0,0,0,0
All I Want for Christmas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Be My Valentine,None.,0,0,0,0,0,0,0,0,0,0,0,0
30 by 30: Kid Flicks,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
As If,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Bachelor,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0,0,8,9
The Enemy Within,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chances,None.,0,0,0,0,0,0,0,0,0,0,0,0
Zero Tolerance,None.,0,0,0,0,0,0,0,0,0,0,0,0
24Seven,None.,0,0,0,0,0,0,0,0,0,0,0,0
AFP: American Fighter Pilot,None.,0,0,0,0,0,0,0,0,0,0,0,0
Achla Seret,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ahava BeCvalim,None.,0,0,0,0,0,0,0,0,0,0,0,0
Akros oikogeneiakon,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alicia!,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Very British Murder,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Killing Babies,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Show Must Go On,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Auge um Auge,None.,0,0,0,0,0,0,0,0,0,0,0,0
Broken Wings,15 wins & 4 nominations.,15,4,0,0,0,0,0,0,0,0,4,15
Salvation,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Air Cops,None.,0,0,0,0,0,0,0,0,0,0,0,0
High Speed Pursuit: Justice on the Road,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Bubble,None.,0,0,0,0,0,0,0,0,0,0,0,0
2020; History of the Future,None.,0,0,0,0,0,0,0,0,0,0,0,0
Al desnudo,None.,0,0,0,0,0,0,0,0,0,0,0,0
At Home with... Fann Wong,None.,0,0,0,0,0,0,0,0,0,0,0,0
Identity Lost,None.,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Hollywood Star,None.,0,0,0,0,0,0,0,0,0,0,0,0
20tantos,None.,0,0,0,0,0,0,0,0,0,0,0,0
Absolut das Leben,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alle tiders underholdning,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anak metropolitan,None.,0,0,0,0,0,0,0,0,0,0,0,0
Angelina Ballerina,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
Any Time Now,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0,6,3
Baby Style,None.,0,0,0,0,0,0,0,0,0,0,0,0
AFL Sunday,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Adventures of Jimmy Neutron: Boy Genius,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0,8,8
After Hours,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
Aoi Misaki wa yoru mieru,None.,0,0,0,0,0,0,0,0,0,0,0,0
Terminal Invasion,None.,0,0,0,0,0,0,0,0,0,0,0,0
